Chapter,Kind,Question,Answer
"בראשית יב', 4‏",טריוויה רגילות,בן כמה היה אברהם בצאתו מחרן?,בן שבעים וחמש שנה.
"בראשית יב', 4‏",טריוויה רגילות,אל אברהם הצטרף בהליכתו לכנען?,לוט.
"בראשית יב',7‏",טריוויה רגילות,המזבח הראשון בנה אברהם ב?,שכם.
"בראשית יב', 10‏",טריוויה רגילות,הסיבה שאברהם ירד למצרים הייתה?,הרעב הכבד שהיה בארץ.
"בראשית יב', 12‏",טריוויה רגילות,מדוע בקש אברהם משרה שתאמר שהיא אחותו כשהתקרב למצרים?,"אברהם פחד שהמצרים יקחו את שרה‏
ויהרגו אותו."
"בראשית יב', 16‏",טריוויה רגילות,פרעה הטיב לאברהם ונתן לו?,"צאן ובקר וחמורים ועבדים ושפחות‏
ואתונות וגמלים."
"בראשית יב', 17‏",טריוויה רגילות,העונש בגלל שנלקחה שרה לבית פרעה היה?,נגעים גדולים לפרעה ולביתו.
"בראשית יב', 19‏",טריוויה רגילות,תגובת פרעה לאחר שנודע לו ששרה היא אשת אברהם הייתה?,"פרעה אומר לאברהם לעזוב את מצרים‏
ומצווה את אנשיו לשלחו."
"בראשית יג', 3‏",טריוויה רגילות,כאשר שב אברהם ממצרים הוא מחליט ל?,"לשבת במקום שישב בו לראשונה‏
בכניסתו לארץ.."
"בראשית יג', 7‏",טריוויה רגילות,הסיבה שאברהם מציע ללוט שייפרדו איש מעל אחיו הייתה?,הריב בין רועי אברהם לרועי לוט.
"בראשית יג', 9‏",טריוויה רגילות,הגבולות בין איזור התיישבותו של אברהם לבין זה של לוט נקבעו כך?,"אברהם מאפשר ללוט לבחור ראשון‏
את איזור התיישבותו."
"בראשית יג', 12‏",טריוויה רגילות,אזורי ההתיישבות היו?,"אברהם ישב בארץ כנען ולוט ישב בערי‏
הכיכר."
"בראשית יג', 16‏",טריוויה רגילות,לאחר שנפרד לוט מאברהם אומר ה לאברהם ושמתי את זרעך כ?,כעפר הארץ.
"בראשית יג', 18‏",טריוויה רגילות,לאחר שנפרד אברהם מלוט קובע את מקום מושבו ב?,חברון.
"בראשית יד', 3‏",טריוויה רגילות,המלחמה בין ארבעת המלכים לחמשת מלכי הככר נערכה ב?,עמק השדים.
"בראשית יד',4‏",טריוויה רגילות,הסיבה למלחמה זו הייתה?,חמשת המלכים מרדו בכדרלעומר.
"בראשית יד',13‏",טריוויה רגילות,ענר אשכול וממרא היו?,בעלי ברית אברהם.
"בראשית יד', 14‏",טריוויה רגילות,הסיבה לרדיפת חמשת המלכים היו א  אברהם ואנשיו אחרי ארבעת המלכים הייתה?,לוט בן אחי אברהם נלקח בשבי.
"בראשית יד', 15‏",טריוויה רגילות,אברהם רדף אחרי ארבעת המלכים עדאשר משמאל לדמשק?,חובה.
"בראשית יד', 17‏",טריוויה רגילות,לאחר ששב אברהם מהכות את ארבעת המלכים נפגשים אתו מלך שלם ומלך סדום ב?,עמק שוה.
"בראשית יד', 18‏",טריוויה רגילות,שמו של מלך שלם היה?,מלכי-צדק.
"בראשית טו', 5‏",טריוויה רגילות,והאמין בה ויחשבה לו צדקהפסוק זה נאמר על?,הבטחת הזרע.
"בראשית טו', 9‏",טריוויה רגילות,"קשורה לעגלהעזאיל,תור וגוזל רשימת בעלי החיים שבסוגריים?",ברית בין הבתרים.
"בראשית טו', 12‏",טריוויה רגילות,"תרדמה,אימה וחשיכה גדולה נפלו על?",אברהם.
"בראשית טו', 13‏",טריוויה רגילות,מתי נאמרו הפסוקים הבאים לאברהם אבינוידוע תדע כי גר יהיה זרעך בארץ לא להם?,בברית בין הבתרים.
"בראשית טז', 3‏",טריוויה רגילות,לאחר כמה שנים שאברהם היה בכ נען לקח את הגר לאשה?,אחרי עשר שנים.
"בראשית טז', 14‏",טריוויה רגילות,באר לחי רואי נקראה על שם?,המקום בו נראה מלאך ה' להגר.
"בראשית יז', 24‏",טריוויה רגילות,אברהם מל את בשר ערלתו בהיותו בן?,תשעים ותשע שנים.
"בראשית יז', 12‏",טריוויה רגילות,מצות ברית המילה חלה על זרעו של אברהם בהיותם בני?,שמונה ימים.
"בראשית יז', 20‏",טריוויה רגילות,על מי נאמר שנים עשר נשיאים יוליד?,על ישמעאל.
"בראשית יח', 5-8‏",טריוויה רגילות,"המאכלים הרשומים בסוגריים   הוגשו עי אברהם פת לחם,עוגות,בן בקר,חמאה וחלב?","המלאכים שבקרו אצלו ובשרו לו‏
ולשרה על לידת יצחק."
"בראשית יח', 24-32‏",טריוויה רגילות,"המספרים חמשים,ארבעים וחמשה,ארבעים ,שלשים ,עשרים ,עשרה מציינים את?","הניסיונות של אברהם ללמד זכות על‏
אנשי סדום ועמורה.."
"בראשית יט', 3‏",טריוויה רגילות,האיש שעשה משתה ואפה מצות לכבוד אורחיו היה?,לוט.
"בראשית יט', 13‏",טריוויה רגילות,כי גדלה צעקתם את פני ה פסוק זה נאמר בעניין?,חטאי סדום ועמורה.
"בראשית יט', 24‏",טריוויה רגילות,ה המטיר על סדום ועל עמורה?,גפרית ואש.
"בראשית יט', 25‏",טריוויה רגילות,בהפיכת סדום ועמורה נהפכו?,"הערים,כל הכיכר,כל יושבי הערים‏
וצמח האדמה.."
"בראשית יט', 28‏",טריוויה רגילות,והנה עלה קיטור הארץ כקיטור הכבשןנאמר בהקשר ל?,הפיכת סדום ועומרה.
"בראשית יט', 26‏",טריוויה רגילות,נציב מלח נאמר בהקשר ל?,אשת לוט.
"בראשית יט', 29‏",טריוויה רגילות,הפסוק ויזכור אלקים את נאמר בהקשר לאישים הבאים?,אברהם.
"בראשית יט', 30‏",טריוויה רגילות,האנשים שישבו במערה היו?,לוט ושתי בנותיו.
"בראשית ט', 21‏
בראשית יט', 33-36‏",טריוויה רגילות,האנשים ששתו יין לשכרה הם?,נח ולוט.
"בראשית כ', 7‏",טריוויה רגילות,הפסוק כי נביא הוא נאמר על?,אברהם.
"בראשית כ', 9‏",טריוויה רגילות,הפסוק כי הבאת עלי ועל ממלכתי חטאה  גדולה  נאמר בהקשר ל?,לקיחת שרה לבית אבימלך..
"בראשית כא', 2‏",טריוויה רגילות,למועד אשר דבר אותו אלוקים  נאמר בקשר ל?,לידת יצחק.
"בראשית כא', 4‏",טריוויה רגילות,אברהם מל את יצחק בנו בהיותו בן?,שמונה ימים.
"בראשית כא', 8‏",טריוויה רגילות,אברהם עשה משתה גדול ב?,יום היגמל את יצחק.
"בראשית כא', 5‏",טריוויה רגילות,כאשר נולד יצחק היה אברהם בן?,מאה שנים.
"בראשית כא', 14‏",טריוויה רגילות,לחם וחמת מים קשורים ל?,צידה שנתן אברהם להגר..
"בראשית כא', 16‏",טריוויה רגילות,הביטוי הרחק כמטחוי קשת נאמר בהקשר ל?,"מרחק מהמקום בו ישבה הגר עד‏
למקום בו שכב ישמעאל.."
"בראשית כא', 25‏",טריוויה רגילות,אברהם הוכיח את אבימלך על אודות?,באר המים אשר גזלו עבדי אבימלך..
"בראשית כא', 30‏",טריוויה רגילות,אברהםביקש מ אבימלך שייקח ממנו?,שבע כבשות.
"בראשית כא', 33‏",טריוויה רגילות,אברהם נטע בבאר שבע?,אשל.
"בראשית כא', 22‏",טריוויה רגילות,פיכל היה שמו של?,שר צבא מלך פלשתים.
"בראשית כא', 33‏",טריוויה רגילות,הפסוק ויקרא שם בשם ה אל עולםנאמר בקשר ל?,האשל בבאר שבע.
"בראשית כב', 1‏",טריוויה רגילות,לאיזה ניסיון מתכוון הכתוב בפסוק והאל וקים נסה את אברהם?,עקדת יצחק.
"בראשית כב', 2‏",טריוויה רגילות,ניסיון זה אירע ב?,ארץ המוריה.
"בראשית כב', 2‏",טריוויה רגילות,יצחק הועלה לעולה על?,אחד ההרים.
"בראשית כב', 3‏",טריוויה רגילות,בעקדת יצחק אברהם?,"חובש את חמורו,לוקח אתו את שני‏
נעריו ואת יצחק בנו.."
"בראשית כב', 6‏",טריוויה רגילות,אברהם מבקע עצי עולה ושם אותם?,"על יצחק בנו ובידו הוא לוקח את האש‏
ואת המאכלת רק כאשר הוא מתקרב‏
למקום.."
"בראשית כב', 4‏",טריוויה רגילות,אברהם ראה את המקום מרחוק מתי?,ביום השלישי.
"בראשית כב', 5‏",טריוויה רגילות,למקום העקדה לוקח אברהם אתו?,רק את יצחק בנו..
"בראשית כב', 9‏",טריוויה רגילות,בעקדת יצחק?,"אברהם בנה את המזבח , ערך את‏
העצים, עקד את יצחק ושם אותו על‏
המזבח ממעל לעצים.."
"בראשית כב', 10-11‏",טריוויה רגילות,מלאך ה קרא לאברהם מן השמים אל תשלח ידך אל הנער ואל תעש לו מאומה מתי?,"ברגע שאברהם לקח את המאכלת‏
לשחוט את בנו.."
"בראשית כב', 13‏",טריוויה רגילות,אברהם העלה לעולה במקום יצחק?,איל.
"בראשית כב', 14‏",טריוויה רגילות,אברהם קרא את שם המקום ההוא?,ה' יראה.
"בראשית כב', 15‏",טריוויה רגילות,כמה פעמים קרא מלאך ה לאברהם?,פעמיים.
"בראשית כב', 12‏",טריוויה רגילות,מלאך ה אמר לאברהם שהוא?,ירא א-לוקים.
"בראשית כב', 20‏",טריוויה רגילות,אחרי עקדת יצחק נודע לאברהם ש?,"מלכה אשת נחור אחיו ילדה גם היא‏
בנים.."
"בראשית כג', 1‏",טריוויה רגילות,מספר שנות חייה של שרה?,מאה עשרים ושבע שנים.
"בראשית כג', 2‏",טריוויה רגילות,שרה מתה ב?,קריית ארבע.
"בראשית כג', 2‏",טריוויה רגילות,השם קרית ארבע הוא שם נרדף ל?,חברון.
"בראשית כג', 4‏",טריוויה רגילות,אברהם אמר על עצמו שהוא?,גר ותושב.
"בראשית כג', 6‏",טריוויה רגילות,בני חת מכנים את אברהם בכינוי?,נשיא א-לוקים.
"בראשית כג', 19‏",טריוויה רגילות,שרה נקברה ב?,מערת המכפלה.
"בראשית כג', 16‏",טריוויה רגילות,אברהם שלם עבור השדה והמערה אשר בו?,ארבע מאות שקל כסף.
